,0,1
436,havia,NN
437,colônia,NN
438,ainda,NN
439,reino,NN
440,autoridade,VBD
441,semelhante,JJ
442,matéria,NNS
443,mal,JJ
444,explorada,JJ
445,quase,NN
446,inexplorada,NN
447,Simão,NNP
448,Bacamarte,NNP
449,compreendeu,NN
450,ciência,NN
451,lusitana,NN
452,particularmente,NN
453,brasileira,IN
454,podia,NN
455,cobrir,NN
456,louros,NN
457,imarcescíveis,NN
458,,NNP
459,",",","
460,expressão,VBZ
461,usada,JJ
462,arroubo,NN
463,intimidade,NN
464,doméstica,NN
465,exteriormente,VBP
466,modesto,FW
467,segundo,NN
468,convém,NN
469,sabedores,VBZ
470,saúde,JJ
471,alma,NN
472,bradou,NN
473,ocupação,IN
474,digna,NN
475,médico,NNS
476,Do,VBP
477,verdadeiro,RB
478,médico,VB
479,emendou,NN
480,Crispim,NNP
481,Soares,NNP
482,boticário,NN
483,vila,NN
484,amigos,IN
485,comensais,NN
486,vereança,NN
487,Itaguaí,NNP
488,outros,VBZ
489,pecados,JJ
490,argüida,NN
491,cronistas,NNS
492,fazer,VBP
493,caso,JJ
494,dementes,NNS
495,Assim,NNP
496,cada,NN
497,louco,NN
498,furioso,NN
499,trancado,NN
500,alcova,IN
501,própria,NNS
502,casa,VBP
503,curado,JJ
504,descurado,NN
505,morte,NN
506,vinha,NN
507,defraudar,NN
508,benefício,NN
509,vida,NN
510,mansos,NN
511,andavam,NN
512,solta,NN
513,rua,NN
514,Simão,NNP
515,Bacamarte,NNP
516,entendeu,VBZ
517,desde,NN
518,logo,NN
519,reformar,NN
520,tão,NN
521,ruim,NN
522,costume,NN
523,pediu,NN
524,licença,NN
525,Câmara,NNP
526,agasalhar,VBZ
527,tratar,NN
528,edifício,NN
529,ia,NN
530,construir,NN
531,todos,NN
532,loucos,NN
533,Itaguaí,NNP
534,demais,NN
535,vilas,NNS
536,cidades,NNS
537,mediante,VBP
538,estipêndio,JJ
539,Câmara,NNP
540,daria,NN
541,família,NN
542,enfermo,FW
543,pudesse,NN
544,fazer,NN
545,proposta,NN
546,excitou,NN
547,curiosidade,NN
548,toda,NN
549,vila,NN
550,encontrou,NN
551,grande,NN
552,resistência,NN
553,tão,NN
554,certo,NN
555,dificilmente,NN
556,desarraigam,NN
557,hábitos,NN
558,absurdos,NN
559,ainda,NN
560,maus,NN
561,idéia,NN
562,meter,NN
563,loucos,NN
564,mesma,NN
565,casa,NN
566,vivendo,NN
567,comum,JJ
568,pareceu,NN
569,si,NN
570,mesma,NN
571,sintoma,NN
572,demência,NN
573,faltou,NN
574,insinuasse,NN
575,própria,NN
576,mulher,NN
577,médico,NN
578,Olhe,NNP
579,Evarista,NNP
580,disse,NN
581,Padre,NNP
582,Lopes,NNP
583,vigário,NN
584,lugar,NN
585,veja,NN
586,marido,NN
587,dá,NN
588,passeio,NN
589,Rio,NNP
590,Janeiro,NNP
591,Isso,NNP
592,estudar,NN
593,sempre,NN
594,sempre,NN
595,bom,NN
596,vira,NN
597,juízo,NN
598,Evarista,NNP
599,ficou,NN
600,aterrada,NN
601,ter,NN
602,marido,NN
603,disse,NN
604,desejos,NN
605,,NNP
606,",",","
607,principalmente,NN
608,vir,NN
609,Rio,NNP
610,Janeiro,NNP
611,comer,NN
612,tudo,NN
613,parecesse,NN
614,adequado,NN
615,certo,NN
616,fim,NN
617,Mas,NNP
618,grande,NN
619,homem,NN
620,rara,NN
621,sagacidade,VBD
622,distinguia,JJ
623,penetrou,NN
624,intenção,NN
625,esposa,NN
626,redargüiu,NN
627,sorrindo,NN
628,medo,NN
629,Dali,NNP
630,Câmara,NNP
631,onde,NN
632,vereadores,NNS
633,debatiam,VBP
634,proposta,JJ
635,defendeu,NN
636,tanta,NN
637,eloqüência,NN
638,maioria,NN
639,resolveu,NN
640,autorizá,NN
641,lo,NN
642,pedira,NN
643,votando,NN
644,tempo,NN
645,imposto,NN
646,destinado,NN
647,subsidiar,NN
648,tratamento,IN
649,alojamento,NN
650,mantimento,NN
651,doidos,NN
652,pobres,VBZ
653,matéria,NNS
654,imposto,JJ
655,fácil,NN
656,achá,NN
657,la,NN
658,tudo,NN
659,tributado,NN
660,Itaguaí,NNP
661,Depois,NNP
662,longos,VBD
663,estudos,JJ
664,assentou,NN
665,permitir,NN
666,uso,JJ
667,dois,NN
668,penachos,NN
669,cavalos,NN
670,enterros,JJ
671,Quem,NNP
672,quisesse,NN
673,emplumar,NN
674,cavalos,NN
675,coche,NN
676,mortuário,NN
677,pagaria,NN
678,dois,NN
679,tostões,NN
680,Câmara,NNP
681,repetindo,NN
682,tantas,NN
683,vezes,VBZ
684,quantia,JJ
685,quantas,NNS
686,horas,VBP
687,decorridas,RB
688,falecimento,JJ
689,última,NNP
690,bênção,NN
691,sepultura,NN
692,escrivão,NN
693,perdeu,NN
694,cálculos,NN
695,aritméticos,NN
696,rendimento,NN
697,possível,NN
698,nova,JJ
699,taxa,NN
700,vereadores,NNS
701,acreditava,VBP
702,empresa,JJ
703,médico,NN
704,pediu,NN
705,relevasse,NN
706,escrivão,NN
707,trabalho,NN
708,inútil,NN
709,Os,NNP
710,cálculos,NN
711,precisos,NN
712,disse,NN
713,porque,NN
714,Dr,NNP
715,Bacamarte,NNP
716,arranja,IN
717,nada,JJ
718,Quem,NNP
719,viu,NN
720,agora,NN
721,meter,NN
722,todos,NN
723,doidos,NN
724,dentro,NN
725,mesma,NN
726,casa,NN
727,Enganava,NNP
728,digno,NN
729,magistrado,NN
730,médico,NN
731,arranjou,NN
732,tudo,NN
733,Uma,NNP
734,vez,NN
735,empossado,NN
736,licença,NN
737,começou,NN
738,logo,NN
739,construir,NN
740,casa,NN
741,Era,NNP
742,Rua,NNP
743,Nova,NNP
744,bela,NN
745,rua,NN
746,Itaguaí,NNP
747,naquele,CC
748,tempo,JJ
749,cinqüenta,NN
750,janelas,NNS
751,lado,VBP
752,pátio,JJ
753,centro,NN
754,numerosos,JJ
755,cubículos,NN
756,hóspedes,NNS
757,Como,NNP
758,grande,NN
759,arabista,NN
760,achou,NN
761,Corão,NNP
762,Maomé,NNP
763,declara,NN
764,veneráveis,NN
765,doidos,NN
766,consideração,NN
767,Alá,NNP
768,tira,NN
769,juízo,NN
770,pequem,NN
771,idéia,NN
772,pareceu,NN
773,bonita,NN
774,profunda,NN
775,fez,NN
776,gravar,NN
777,frontispício,NN
778,casa,NN
779,medo,NN
780,vigário,NN
781,tabela,NN
782,bispo,NN
783,atribuiu,NN
784,pensamento,NN
785,Benedito,NNP
786,VIII,NNP
787,merecendo,FW
788,fraude,NN
789,aliás,NN
790,pia,NN
791,Padre,NNP
792,Lopes,NNP
793,contasse,NN
794,almoço,NN
795,vida,NN
796,daquele,NN
797,pontífice,NN
798,eminente,NN
799,Casa,NNP
800,Verde,NNP
801,nome,JJ
802,dado,NN
803,asilo,NN
804,alusão,NN
805,cor,NN
806,janelas,NN
807,primeira,NN
808,vez,NN
809,apareciam,NN
810,verdes,NNS
811,Itaguaí,NNP
812,Inaugurou,NNP
813,imensa,NN
814,pompa,NN
815,todas,NN
816,vilas,NNS
817,povoações,VBP
818,próximas,JJ
819,remotas,NNS
820,própria,NNS
821,cidade,VBP
822,Rio,NNP
823,Janeiro,NNP
824,correu,NN
825,gente,NN
826,assistir,NN
827,cerimônias,NN
828,duraram,VBZ
829,sete,JJ
830,dias,NNS
831,Muitos,NNP
832,dementes,VBZ
833,recolhidos,VBP
834,parentes,NNS
835,ocasião,VBP
836,ver,RB
837,carinho,JJ
838,paternal,JJ
839,caridade,NN
840,cristã,NN
841,iam,NN
842,ser,NN
843,tratados,NN
844,Evarista,NNP
845,contentíssima,NN
846,glória,NN
847,marido,NN
848,vestira,NN
849,luxuosamente,NN
850,cobriu,NN
851,jóias,NN
852,flores,VBZ
853,sedas,JJ
854,Ela,NNP
855,verdadeira,NN
856,rainha,NN
857,naqueles,NNS
858,dias,VBP
859,memoráveis,JJ
860,ninguém,JJ
861,deixou,NN
862,ir,NN
863,visitá,NN
864,la,NN
865,duas,NN
866,três,NN
867,vezes,VBZ
868,apesar,JJ
869,costumes,NNS
870,caseiros,VBP
871,recatados,JJ
872,século,NN
873,cortejavam,NN
874,louvavam,NN
875,porquanto,IN
876,fato,NN
877,documento,NN
