,0,1
1038,é,NNP
1039,um,NN
1040,tanto,NN
1041,remoto,NN
1042,mas,NN
1043,eu,NN
1044,não,JJ
1045,hei,NN
1046,de,FW
1047,trocar,NN
1048,as,IN
1049,datas,NNS
1050,à,VBP
1051,minha,JJ
1052,vida,NN
1053,só,NN
1054,para,NN
1055,agradar,NN
1056,às,NNP
1057,pessoas,NN
1058,que,NN
1059,não,JJ
1060,amam,NN
1061,histórias,NN
1062,velhas,FW
1063,o,JJ
1064,ano,NN
1065,era,NN
1066,de,IN
1067,1857,CD
1068,,NNP
1069,D,NNP
1070,Glória,NNP
1071,a,DT
1072,senhora,JJ
1073,persiste,NN
1074,na,TO
1075,idéia,VB
1076,de,FW
1077,meter,FW
1078,o,FW
1079,nosso,FW
1080,Bentinho,NNP
1081,no,DT
1082,seminário,NN
1083,É,VBZ
1084,mais,JJ
1085,que,NN
1086,tempo,NN
1087,e,NN
1088,já,NN
1089,agora,NN
1090,pode,NN
1091,haver,NN
1092,uma,JJ
1093,dificuldade,NN
1094,,NNP
1095,Que,NNP
1096,dificuldade,VBD
1097,,NNP
1098,Uma,NNP
1099,grande,NN
1100,dificuldade,NN
1101,Minha,NNP
1102,mãe,NN
1103,quis,NN
1104,saber,NN
1105,o,JJ
1106,que,NN
1107,era,NN
1108,José,NNP
1109,Dias,NNP
1110,depois,FW
1111,de,FW
1112,alguns,FW
1113,instantes,NNS
1114,de,IN
1115,concentração,NN
1116,veio,NN
1117,ver,NN
1118,se,NN
1119,havia,NN
1120,alguém,VBZ
1121,no,DT
1122,corredor,NN
1123,não,RB
1124,deu,JJ
1125,por,NN
1126,mim,NN
1127,voltou,NN
1128,e,VBZ
1129,abafando,RP
1130,a,DT
1131,voz,NN
1132,disse,NN
1133,que,NN
1134,a,DT
1135,dificuldade,NN
1136,estava,NN
1137,na,TO
1138,casa,VB
1139,ao,JJ
1140,pé,NN
1141,a,DT
1142,gente,NN
1143,do,VBP
1144,Pádua,NNP
1145,,VB
1146,A,NNP
1147,gente,NN
1148,do,VBP
1149,Pádua,NNP
1150,,NNP
1151,Há,NNP
1152,algum,VBZ
1153,tempo,JJ
1154,estou,NN
1155,para,NN
1156,lhe,JJ
1157,dizer,NN
1158,isto,NN
1159,mas,NN
1160,não,IN
1161,me,PRP
1162,atrevia,VBP
1163,Não,NNP
1164,me,PRP
1165,parece,VBP
1166,bonito,JJ
1167,que,NN
1168,o,NN
1169,nosso,JJ
1170,Bentinho,NNP
1171,ande,NN
1172,metido,NN
1173,nos,JJ
1174,cantos,NN
1175,com,VBZ
1176,a,DT
1177,filha,NN
1178,do,VBP
1179,Tartaruga,NNP
1180,e,VB
1181,esta,JJ
1182,é,FW
1183,a,DT
1184,dificuldade,NN
1185,porque,NN
1186,se,NN
1187,eles,VBZ
1188,pegam,FW
1189,de,FW
1190,namoro,FW
1191,a,DT
1192,senhora,NN
1193,terá,NN
1194,muito,NN
1195,que,NN
1196,lutar,NN
1197,para,NN
1198,separá,NN
1199,los,NN
1200,,NNP
1201,Não,NNP
1202,acho,VBP
1203,Metidos,NNP
1204,nos,NNS
1205,cantos,VBP
1206,,JJ
1207,É,NNP
1208,um,JJ
1209,modo,NN
1210,de,IN
1211,falar,JJ
1212,Em,NNP
1213,segredinhos,NN
1214,sempre,NN
1215,juntos,NN
1216,Bentinho,NNP
1217,quase,NN
1218,não,JJ
1219,sai,NN
1220,de,IN
1221,lá,FW
1222,A,NNP
1223,pequena,NN
1224,é,NNP
1225,uma,JJ
1226,desmiolada,NN
1227,o,NN
1228,pai,NN
1229,faz,NN
1230,que,NN
1231,não,JJ
1232,vê,NN
1233,tomara,NN
1234,ele,RB
1235,que,RB
1236,as,IN
1237,coisas,JJ
1238,corressem,NN
1239,de,IN
1240,maneira,FW
1241,que,FW
1242,Compreendo,NNP
1243,o,MD
1244,seu,VB
1245,gesto,VB
1246,a,DT
1247,senhora,JJ
1248,não,NN
1249,crê,NN
1250,em,NN
1251,tais,NN
1252,cálculos,NN
1253,parece,NN
1254,lhe,NN
1255,que,NN
1256,todos,NN
1257,têm,VBD
1258,a,DT
1259,alma,NN
1260,cândida,NN
1261,,NNP
1262,Mas,NNP
1263,Sr,NNP
1264,José,NNP
1265,Dias,NNP
1266,tenho,VBD
1267,visto,JJ
1268,os,JJ
1269,pequenos,NNS
1270,brincando,VBP
1271,e,JJ
1272,nunca,JJ
1273,vi,NN
1274,nada,NN
1275,que,NN
1276,faça,NN
1277,desconfiar,NN
1278,Basta,NNP
1279,a,DT
1280,idade,NN
1281,Bentinho,NNP
1282,mal,JJ
1283,tem,NN
1284,quinze,JJ
1285,anos,NNS
1286,Capitu,NNP
1287,fez,NN
1288,quatorze,NN
1289,à,NNP
1290,semana,VBZ
1291,passada,JJ
1292,são,NN
1293,dois,NN
1294,criançolas,NNS
1295,Não,NNP
1296,se,VBD
1297,esqueça,JJ
1298,que,NN
1299,foram,NN
1300,criados,NN
1301,juntos,NN
1302,desde,NN
1303,aquela,NN
1304,grande,NN
1305,enchente,NN
1306,há,NN
1307,dez,NN
1308,anos,NNS
1309,em,VBP
1310,que,PDT
1311,a,DT
1312,família,JJ
1313,Pádua,NNP
1314,perdeu,NN
1315,tanta,NN
1316,coisa,NN
1317,daí,NN
1318,vieram,NN
1319,as,IN
1320,nossas,JJ
1321,relações,NN
1322,Pois,NNP
1323,eu,VBZ
1324,hei,FW
1325,de,FW
1326,crer,FW
1327,Mano,NNP
1328,Cosme,NNP
1329,você,NN
1330,que,NN
1331,acha,NN
1332,Tio,NNP
1333,Cosme,NNP
1334,respondeu,NN
1335,com,NN
1336,um,JJ
1337,Ora,NNP
1338,!,.
1339,',''
1340,que,JJ
1341,traduzido,NN
1342,em,NN
1343,vulgar,NN
1344,queria,NNS
1345,dizer,VBP
1346,São,NNP
1347,imaginações,NN
1348,do,VBP
1349,José,NNP
1350,Dias,NNP
1351,os,MD
1352,pequenos,VB
1353,divertem,NN
1354,se,JJ
1355,eu,NN
1356,divirto,VB
1357,me,PRP
1358,onde,JJ
1359,está,JJ
1360,o,NN
1361,gamão,NN
1362,?,.
1363,',''
1364,,JJ
1365,Sim,NNP
1366,creio,NN
1367,que,NN
1368,o,IN
1369,senhor,NN
1370,está,NN
1371,enganado,NN
1372,,NNP
1373,Pode,NNP
1374,ser,NN
1375,minha,NN
1376,senhora,NN
1377,Oxalá,NNP
1378,tenham,NN
1379,razão,NN
1380,mas,NN
1381,creia,NN
1382,que,NN
1383,não,JJ
1384,falei,NN
1385,senão,NN
1386,depois,NN
1387,de,IN
1388,muito,FW
1389,examinar,FW
1390,,FW
1391,Em,NNP
1392,todo,NN
1393,caso,NN
1394,vai,FW
1395,sendo,NN
1396,tempo,NN
1397,interrompeu,NN
1398,minha,NN
1399,mãe,NN
1400,vou,JJ
1401,tratar,NN
1402,de,IN
1403,metê,FW
1404,lo,JJ
1405,no,DT
1406,seminário,NN
1407,quanto,VBZ
1408,antes,NNS
1409,,VBP
1410,Bem,NNP
1411,uma,JJ
1412,vez,NN
1413,que,NN
1414,não,RB
1415,perdeu,VBZ
1416,a,DT
1417,idéia,NN
1418,de,IN
1419,o,FW
1420,fazer,NN
1421,padre,NN
1422,tem,NN
1423,se,JJ
1424,ganho,NN
1425,o,NN
1426,principal,JJ
1427,Bentinho,NNP
1428,há,NN
1429,de,FW
1430,satisfazer,FW
1431,os,FW
1432,desejos,FW
1433,de,FW
1434,sua,FW
1435,mãe,FW
1436,E,NNP
1437,depois,VBZ
1438,a,DT
1439,igreja,NN
1440,brasileira,NN
1441,tem,NN
1442,altos,JJ
1443,destinos,NN
1444,Não,NNP
1445,esqueçamos,NN
1446,que,NN
1447,um,JJ
1448,bispo,NN
1449,presidiu,VBZ
1450,a,DT
1451,Constituinte,NNP
1452,e,NN
1453,que,NN
1454,o,NN
1455,padre,NN
1456,Feijó,NNP
1457,governou,NN
1458,o,NN
1459,Império,NNP
1460,,NNP
1461,Governo,NNP
1462,como,VBZ
1463,a,DT
1464,cara,NN
1465,dele,NN
1466,atalhou,NN
1467,tio,NN
